id,created_at,text,hashtags,media_url
1585379277721067520,2022-10-26 21:14:09+00:00,"b'@KSI this you? \n\nbut yes, of course I\xe2\x80\x99m winning. https://t.co/98KrYtGa07'",[],http://pbs.twimg.com/ext_tw_video_thumb/1585379269881913345/pu/img/9svNAmd6-vPSpL1o.jpg
1585323008142372864,2022-10-26 17:30:33+00:00,b'RT @MostVpromotions: 3 days to #PaulSilva https://t.co/waVUXZDq7O',"[{'text': 'PaulSilva', 'indices': [31, 41]}]",http://pbs.twimg.com/media/FgAq8mGVEAIq3dz.jpg
1584945719374270470,2022-10-25 16:31:21+00:00,b'4 days.\n#PaulSilva\n\nhttps://t.co/EoEg69maGI https://t.co/wC9r2gX4SV',"[{'text': 'PaulSilva', 'indices': [8, 18]}]",http://pbs.twimg.com/media/Ff7bup7UUA42JpF.jpg
1584544819950469120,2022-10-24 13:58:19+00:00,b'RT @MostVpromotions: Dance off in advance of the fight. Who won? #PaulSilva https://t.co/oXdtfK7k4V',"[{'text': 'PaulSilva', 'indices': [65, 75]}]",http://pbs.twimg.com/ext_tw_video_thumb/1584538921656090628/pu/img/tBDRDd07r4HUhQIE.jpg
1584527159405649920,2022-10-24 12:48:08+00:00,b'How much I\xe2\x80\x99ve missed this. 5 Days! \n\n#PaulSilva Fight week\xe2\x80\xa6 https://t.co/DON6qrDn66',"[{'text': 'PaulSilva', 'indices': [37, 47]}]",http://pbs.twimg.com/media/Ff1fBOxWQAojKmR.jpg
1584188419621945344,2022-10-23 14:22:06+00:00,"b'In 6 days I fight Anderson Silva in #paulsilva but, after that, fat Jake is moving up to the heavyweight division to fight my brotha from anotha mother @Tyson_Fury. The heavyweight division been real quiet since this announcement\xf0\x9f\x91\x80 @betr https://t.co/YxDBgDo7fr'","[{'text': 'paulsilva', 'indices': [36, 46]}]",http://pbs.twimg.com/ext_tw_video_thumb/1584188317008019458/pu/img/e5Sl1UjogvBSXXPh.jpg
1583964260656259072,2022-10-22 23:31:23+00:00,b'RT @MostVpromotions: Are you #TeamPaul for #PaulSilva ? https://t.co/lmZSNHIM4K',"[{'text': 'TeamPaul', 'indices': [29, 38]}, {'text': 'PaulSilva', 'indices': [43, 53]}]",http://pbs.twimg.com/media/Fftci-HX0AEWEdp.jpg
1583841277614825473,2022-10-22 15:22:41+00:00,"b'Looking into the eyes of The Spider. Going to exterminate him, respectfully. #PaulSilva https://t.co/dSRltYXhDS'","[{'text': 'PaulSilva', 'indices': [77, 87]}]",http://pbs.twimg.com/media/FfrvPt2XkAAuZcU.jpg
1583823294960017408,2022-10-22 14:11:14+00:00,b'A life without risk isn\xe2\x80\x99t a life worth living. 7 days. Next Saturday. The biggest risk yet. #PaulSilva @MostVpromotions https://t.co/ep6QjHeeE3',"[{'text': 'PaulSilva', 'indices': [92, 102]}]",http://pbs.twimg.com/ext_tw_video_thumb/1583823177993551873/pu/img/Me9kW56WyTc3uDwi.jpg
1583111196219428869,2022-10-20 15:01:36+00:00,b'https://t.co/wlbLqf7gbI\n\nVOID WHERE PROHIBITED. 21+ TO ENTER. TERMS AND CONDITIONS APPLY. NO PURCHASE NECESSARY. https://t.co/APeujCAdSM',[],http://pbs.twimg.com/ext_tw_video_thumb/1583110909005799427/pu/img/zL4f8q2TFWecXO2B.jpg
